,CustomerID,InvoiceDate_
1016,12748.0,2019-12-01
3692,12748.0,2019-12-02
8448,12748.0,2019-12-05
11960,12748.0,2019-12-06
14873,12748.0,2019-12-07
18137,12748.0,2019-12-08
19997,12748.0,2019-12-09
23514,12748.0,2019-12-10
28954,12748.0,2019-12-13
29950,12748.0,2019-12-14
32511,12748.0,2019-12-16
34323,12748.0,2019-12-17
41165,12748.0,2019-12-21
41564,12748.0,2019-12-23
45395,12748.0,2020-01-05
58499,12748.0,2020-01-16
61620,12748.0,2020-01-18
93841,12748.0,2020-02-17
98912,12748.0,2020-02-22
100503,12748.0,2020-02-23
103353,12748.0,2020-02-27
104267,12748.0,2020-02-28
113475,12748.0,2020-03-08
117160,12748.0,2020-03-11
124788,12748.0,2020-03-18
127546,12748.0,2020-03-21
132532,12748.0,2020-03-24
133919,12748.0,2020-03-25
142944,12748.0,2020-04-01
150690,12748.0,2020-04-08
158909,12748.0,2020-04-17
171525,12748.0,2020-04-28
176869,12748.0,2020-05-05
177902,12748.0,2020-05-06
180112,12748.0,2020-05-08
184485,12748.0,2020-05-10
185857,12748.0,2020-05-11
187284,12748.0,2020-05-12
206297,12748.0,2020-05-27
208024,12748.0,2020-05-31
214739,12748.0,2020-06-06
216794,12748.0,2020-06-07
218762,12748.0,2020-06-08
222713,12748.0,2020-06-10
227838,12748.0,2020-06-15
231200,12748.0,2020-06-17
234429,12748.0,2020-06-21
236791,12748.0,2020-06-22
237102,12748.0,2020-06-23
242284,12748.0,2020-06-28
244422,12748.0,2020-06-30
246452,12748.0,2020-07-01
247433,12748.0,2020-07-03
257029,12748.0,2020-07-08
259105,12748.0,2020-07-11
264153,12748.0,2020-07-14
268372,12748.0,2020-07-18
273848,12748.0,2020-07-21
282203,12748.0,2020-07-28
283767,12748.0,2020-07-29
285139,12748.0,2020-07-31
288594,12748.0,2020-08-03
291076,12748.0,2020-08-04
292364,12748.0,2020-08-05
293247,12748.0,2020-08-07
304423,12748.0,2020-08-17
312050,12748.0,2020-08-24
313702,12748.0,2020-08-25
317551,12748.0,2020-08-30
323210,12748.0,2020-09-02
328520,12748.0,2020-09-06
329956,12748.0,2020-09-07
333226,12748.0,2020-09-09
335185,12748.0,2020-09-11
342378,12748.0,2020-09-15
345262,12748.0,2020-09-16
365259,12748.0,2020-09-28
369781,12748.0,2020-09-30
378170,12748.0,2020-10-05
380799,12748.0,2020-10-06
384391,12748.0,2020-10-07
385732,12748.0,2020-10-09
388611,12748.0,2020-10-10
406408,12748.0,2020-10-19
413213,12748.0,2020-10-23
417560,12748.0,2020-10-25
419486,12748.0,2020-10-26
432759,12748.0,2020-11-01
434037,12748.0,2020-11-02
439362,12748.0,2020-11-04
444634,12748.0,2020-11-06
445452,12748.0,2020-11-07
449287,12748.0,2020-11-08
455869,12748.0,2020-11-10
458378,12748.0,2020-11-11
471156,12748.0,2020-11-15
474884,12748.0,2020-11-16
477302,12748.0,2020-11-17
479755,12748.0,2020-11-18
489647,12748.0,2020-11-22
492709,12748.0,2020-11-23
497504,12748.0,2020-11-24
500242,12748.0,2020-11-25
507948,12748.0,2020-11-28
510118,12748.0,2020-11-29
517238,12748.0,2020-12-01
522748,12748.0,2020-12-04
524895,12748.0,2020-12-05
539888,12748.0,2020-12-08
541836,12748.0,2020-12-09
